Step,OptimalPower,CurrentPower,TargetReplicas,ActualReplicas,ReplicationError
1,1750.00,1750.00,350,350,0
2,1750.00,1645.00,329,329,0
3,1750.00,1540.00,308,308,0
4,1750.00,1435.00,287,287,0
5,1750.00,1330.00,266,266,0
6,1750.00,1225.00,245,245,0
7,1750.00,1120.00,224,224,0
8,1750.00,1015.00,203,203,0
9,1750.00,910.00,182,182,0
10,1750.00,805.00,161,161,0
11,1750.00,700.00,140,140,0
12,1750.00,805.00,161,161,0
13,1750.00,910.00,182,182,0
14,1750.00,1015.00,203,203,0
15,1750.00,1120.00,224,224,0
16,1750.00,1225.00,245,245,0
17,1750.00,1330.00,266,266,0
18,1750.00,1435.00,287,287,0
19,1750.00,1540.00,308,308,0
20,1750.00,1645.00,329,329,0
21,1750.00,1750.00,350,350,0
