Step,OptimalPower,CurrentPower,TargetReplicas,ActualReplicas,ReplicationError
1,1750.00,1750.00,350,350,0
2,1750.00,1750.00,350,350,0
3,1750.00,1225.00,245,245,0
4,1750.00,1225.00,245,245,0
5,1750.00,1225.00,245,245,0
6,1750.00,1225.00,245,245,0
7,1750.00,875.00,175,175,0
8,1750.00,875.00,175,175,0
9,1750.00,875.00,175,175,0
10,1750.00,875.00,175,175,0
11,1750.00,1575.00,315,315,0
12,1750.00,1575.00,315,315,0
13,1750.00,1575.00,315,315,0
14,1750.00,1750.00,350,350,0
15,1750.00,1750.00,350,350,0
